,core,total
0,0.0078135337680578,0.0078135337680578
1,0.007813167758286,0.007813167758286
2,0.007812887430191,0.007812887430191
3,0.0078119309619069,0.0078119309619069
4,0.0078113940544426,0.0078113940544426
5,0.0078107225708663,0.0078107225708663
6,0.0078100855462253,0.0078100855462253
7,0.0078096557408571,0.0078096557408571
8,0.0078091714531183,0.0078091714531183
9,0.007808391470462,0.007808391470462
10,0.0078078447841107,0.0078078447841107
11,0.0078069297596812,0.0078069297596812
12,0.0078060603700578,0.0078060603700578
13,0.0078055229969322,0.0078055229969322
14,0.007804752793163,0.007804752793163
15,0.0078042531386017,0.0078042531386017
16,0.0078036868944764,0.0078036868944764
17,0.007803177461028,0.007803177461028
18,0.0078021055087447,0.0078021055087447
19,0.007801339495927,0.007801339495927
20,0.0078007034026086,0.0078007034026086
21,0.0077999285422265,0.0077999285422265
22,0.0077993054874241,0.0077993054874241
23,0.0077982787042856,0.0077982787042856
24,0.0077975220046937,0.0077975220046937
25,0.0077962265349924,0.0077962265349924
26,0.0077958670444786,0.0077958670444786
27,0.0077944486401975,0.0077944486401975
28,0.0077939666807651,0.0077939666807651
29,0.0077926940284669,0.0077926940284669
30,0.00779185956344,0.00779185956344
31,0.0077902283519506,0.0077902283519506
32,0.0077894432470202,0.0077894432470202
33,0.0077887750230729,0.0077887750230729
34,0.0077880080789327,0.0077880080789327
35,0.0077869640663266,0.0077869640663266
36,0.0077844648621976,0.0077844648621976
37,0.0077838883735239,0.0077838883735239
38,0.007782912813127,0.007782912813127
39,0.0077817472629249,0.0077817472629249
40,0.007780207786709,0.007780207786709
41,0.0077789523638784,0.0077789523638784
42,0.007777611259371,0.007777611259371
43,0.0077763935551047,0.0077763935551047
44,0.0077744373120367,0.0077744373120367
45,0.0077739502303302,0.0077739502303302
46,0.0077717858366668,0.0077717858366668
47,0.007770128082484,0.007770128082484
48,0.0077679199166595,0.0077679199166595
49,0.0077663054689764,0.0077663054689764
50,0.007764799054712,0.007764799054712
51,0.0077635375782847,0.0077635375782847
52,0.0077602840028703,0.0077602840028703
53,0.0077591971494257,0.0077591971494257
54,0.0077574397437274,0.0077574397437274
55,0.0077554313465952,0.0077554313465952
56,0.0077533437870442,0.0077533437870442
57,0.0077511123381555,0.0077511123381555
58,0.0077488468959927,0.0077488468959927
59,0.0077466154471039,0.0077466154471039
60,0.0077437073923647,0.0077437073923647
61,0.0077424859628081,0.0077424859628081
62,0.0077391532249748,0.0077391532249748
63,0.0077362176962196,0.0077362176962196
64,0.0077340551652014,0.0077340551652014
65,0.0077302511781454,0.0077302511781454
66,0.0077278134413063,0.0077278134413063
67,0.0077242851257324,0.0077242851257324
68,0.0077210636809468,0.0077210636809468
69,0.0077179064974188,0.0077179064974188
70,0.0077143986709415,0.0077143986709415
71,0.0077102924697101,0.0077102924697101
72,0.0077067194506525,0.0077067194506525
73,0.0077036637812852,0.0077036637812852
74,0.0076992232352495,0.0076992232352495
75,0.0076944297179579,0.0076944297179579
76,0.00769156916067,0.00769156916067
77,0.0076857348904013,0.0076857348904013
78,0.0076801260001957,0.0076801260001957
79,0.0076754293404519,0.0076754293404519
80,0.0076716979965567,0.0076716979965567
81,0.0076655740849673,0.0076655740849673
82,0.0076572154648602,0.0076572154648602
83,0.0076525146141648,0.0076525146141648
84,0.0076439501717686,0.0076439501717686
85,0.0076387273147702,0.0076387273147702
86,0.0076302560046315,0.0076302560046315
87,0.007625191938132,0.007625191938132
88,0.0076153776608407,0.0076153776608407
89,0.0076081100851297,0.0076081100851297
90,0.0075968271121382,0.0075968271121382
91,0.0075882161036133,0.0075882161036133
92,0.007579933386296,0.007579933386296
93,0.0075674527324736,0.0075674527324736
94,0.0075593427754938,0.0075593427754938
95,0.0075493780896067,0.0075493780896067
96,0.0075364648364484,0.0075364648364484
97,0.007523049134761,0.007523049134761
98,0.0075093139894306,0.0075093139894306
99,0.0074967499822378,0.0074967499822378
100,0.0074788611382246,0.0074788611382246
101,0.0074665327556431,0.0074665327556431
102,0.0074534560553729,0.0074534560553729
103,0.0074324402958154,0.0074324402958154
